,Library,Plate,Well,Rate,Type,Column,Row
258,lib3,P4,F07,0.012883003,Variant,7,F
259,lib3,P4,F08,0.056478354,Variant,8,F
260,lib3,P4,F09,-0.01809702,Variant,9,F
261,lib3,P4,F10,-0.008637163,Sterile,10,F
262,lib3,P4,F11,0.645025984,Variant,11,F
263,lib3,P4,F12,0.008399065,Variant,12,F
264,lib3,P4,G01,0.003457724,Variant,1,G
265,lib3,P4,G02,0.382128103,Variant,2,G
266,lib3,P4,G03,0.068215608,Variant,3,G
267,lib3,P4,G04,0.01515054,Variant,4,G
268,lib3,P4,G05,0.119664505,Variant,5,G
269,lib3,P4,G06,0.324907127,Variant,6,G
270,lib3,P4,G07,0.389633911,Variant,7,G
271,lib3,P4,G08,0.330842104,Variant,8,G
272,lib3,P4,G09,0.14485229,Variant,9,G
273,lib3,P4,G10,0.002265231,Negative,10,G
274,lib3,P4,G11,0.014165225,Variant,11,G
275,lib3,P4,G12,0.331718257,Variant,12,G
276,lib3,P4,H01,-0.01889148,Variant,1,H
277,lib3,P4,H02,0.100431674,Variant,2,H
278,lib3,P4,H03,0.024156576,Variant,3,H
279,lib3,P4,H04,0.060315399,Variant,4,H
280,lib3,P4,H05,0.026443891,Variant,5,H
281,lib3,P4,H06,0.002845756,Variant,6,H
282,lib3,P4,H07,0.297552586,Variant,7,H
283,lib3,P4,H08,0.257179129,Variant,8,H
284,lib3,P4,H09,0.516416427,Variant,9,H
285,lib3,P4,H10,-0.000327991,Negative,10,H
286,lib3,P4,H11,0.233840021,Variant,11,H
287,lib3,P4,H12,0.051714656,Variant,12,H
288,lib3,P5,A01,0.289290373,Variant,1,A
289,lib3,P5,A02,0.026224569,Variant,2,A
290,lib3,P5,A03,0.385132664,Variant,3,A
291,lib3,P5,A04,0.17977388,Variant,4,A
292,lib3,P5,A05,0.524859585,Variant,5,A
293,lib3,P5,A06,-0.017563231,Variant,6,A
294,lib3,P5,A07,0.777657542,Variant,7,A
295,lib3,P5,A08,0.023378803,Variant,8,A
296,lib3,P5,A09,1.01335469,Variant,9,A
297,lib3,P5,A10,0.247941808,Parent,10,A
298,lib3,P5,A11,0.341854116,Variant,11,A
299,lib3,P5,A12,-0.009305828,Variant,12,A
300,lib3,P5,B01,0.029844886,Variant,1,B
301,lib3,P5,B02,0.201764799,Variant,2,B
302,lib3,P5,B03,-0.003039843,Variant,3,B
303,lib3,P5,B04,0.013777606,Variant,4,B
304,lib3,P5,B05,0.464318515,Variant,5,B
305,lib3,P5,B06,0.152220545,Variant,6,B
306,lib3,P5,B07,-0.001849585,Variant,7,B
307,lib3,P5,B08,-0.002126183,Variant,8,B
308,lib3,P5,B09,0.007116624,Variant,9,B
309,lib3,P5,B10,0.275543049,Parent,10,B
310,lib3,P5,B11,0.215185487,Variant,11,B
311,lib3,P5,B12,0.509671524,Variant,12,B
312,lib3,P5,C01,0.418405757,Variant,1,C
313,lib3,P5,C02,0.000592464,Variant,2,C
314,lib3,P5,C03,0.172297652,Variant,3,C
315,lib3,P5,C04,0.370905728,Variant,4,C
316,lib3,P5,C05,-0.022951828,Variant,5,C
317,lib3,P5,C06,-0.025461453,Variant,6,C
318,lib3,P5,C07,0.341689734,Variant,7,C
319,lib3,P5,C08,0.144726404,Variant,8,C
320,lib3,P5,C09,0.512500043,Variant,9,C
321,lib3,P5,C10,0.283952306,Parent,10,C
322,lib3,P5,C11,-0.010773744,Variant,11,C
323,lib3,P5,C12,0.22626102,Variant,12,C
324,lib3,P5,D01,0.015095525,Variant,1,D
325,lib3,P5,D02,0.002324143,Variant,2,D
326,lib3,P5,D03,0.001824927,Variant,3,D
327,lib3,P5,D04,-0.008511359,Variant,4,D
328,lib3,P5,D05,0.363161536,Variant,5,D
329,lib3,P5,D06,0.654463523,Variant,6,D
330,lib3,P5,D07,0.422834263,Variant,7,D
331,lib3,P5,D08,0.279769629,Variant,8,D
332,lib3,P5,D09,0.030117923,Variant,9,D
333,lib3,P5,D10,0.393237023,Parent,10,D
334,lib3,P5,D11,0.006847299,Variant,11,D
335,lib3,P5,D12,0.787710831,Variant,12,D
336,lib3,P5,E01,0.17509958,Variant,1,E
337,lib3,P5,E02,0.240417902,Variant,2,E
338,lib3,P5,E03,0.089006346,Variant,3,E
339,lib3,P5,E04,0.019133615,Variant,4,E
340,lib3,P5,E05,0.001368824,Variant,5,E
341,lib3,P5,E06,-0.007471074,Variant,6,E
342,lib3,P5,E07,0.475393931,Variant,7,E
343,lib3,P5,E08,0.063157004,Variant,8,E
344,lib3,P5,E09,-0.008838744,Variant,9,E
